Date,Price,Open,High,Low,Vol.,Change %
23-Jun-15,945.3,950.43,950.44,945.26,58.75M,-0.54%
22-Jun-15,950.43,959.17,959.26,950.43,71.60M,-0.91%
21-Jun-15,959.17,965.04,966.06,959.03,40.79M,-0.38%
18-Jun-15,962.87,954.14,963.24,952.56,67.34M,0.91%
17-Jun-15,954.16,952.1,955.68,951.22,84.69M,0.22%
16-Jun-15,952.08,942.29,952.21,942.29,73.18M,1.09%
15-Jun-15,941.78,945.87,946.59,941.03,96.13M,-0.43%
14-Jun-15,945.88,951.49,952.15,945.87,68.96M,-0.57%
11-Jun-15,951.35,954.48,955.42,950.6,74.40M,-0.35%
10-Jun-15,954.65,962.28,966.23,954.65,97.10M,-0.71%
9-Jun-15,961.49,965.88,965.88,957.69,113.93M,-0.46%
8-Jun-15,965.94,975.18,978.41,965.94,108.33M,-0.93%
7-Jun-15,975.01,979.62,979.84,974.95,76.13M,-0.37%
4-Jun-15,978.66,985.63,987.11,978.62,95.47M,-0.71%
3-Jun-15,985.62,985.79,990.55,985.62,95.01M,-0.01%
2-Jun-15,985.73,980.47,986.73,978.97,121.03M,0.54%
1-Jun-15,980.46,986.07,989.84,980.45,101.79M,-0.54%
31-May-15,985.75,"1,000.93","1,000.97",985,105.14M,-1.52%
28-May-15,"1,000.95","1,008.72","1,009.86","1,000.95",136.93M,-0.83%
27-May-15,"1,009.28","1,001.64","1,011.20","1,000.90",159.31M,0.82%
26-May-15,"1,001.11","1,008.73","1,011.29","1,001.11",139.33M,-0.78%
25-May-15,"1,008.96","1,015.83","1,016.11","1,008.77",155.27M,-0.66%
24-May-15,"1,015.70","1,003.63","1,016.14","1,003.63",188.50M,1.21%
21-May-15,"1,003.60",988.34,"1,004.12",988.34,218.71M,1.59%
20-May-15,987.93,990.23,990.23,981.96,176.08M,-0.26%
19-May-15,990.46,985.14,"1,000.11",985.04,220.41M,1.09%
18-May-15,979.8,920.18,979.8,920.18,158.70M,6.47%
17-May-15,920.28,923.42,929.18,920.27,101.65M,-0.34%
14-May-15,923.41,944.46,944.46,922.3,131.72M,-2.23%
13-May-15,944.43,959.05,960.16,943.43,118.82M,-1.53%
12-May-15,959.1,963.74,964.08,959.04,66.37M,-0.62%
11-May-15,965.07,968.56,972.56,965.07,84.42M,-0.36%
10-May-15,968.53,968.6,972.2,968.3,63.57M,-0.01%
7-May-15,968.6,968.29,970.19,964.9,93.92M,0.04%
6-May-15,968.22,976,980.09,968.22,101.84M,-0.79%
5-May-15,975.9,956.93,976.5,956.75,117.76M,1.99%
4-May-15,956.88,956.78,959.1,955.48,124.66M,0.01%
3-May-15,956.83,971.37,971.37,956.83,90.76M,-1.54%
30-Apr-15,971.75,954.92,972.64,954.92,153.72M,1.80%
29-Apr-15,954.53,941.58,954.53,939.84,135.22M,1.38%
28-Apr-15,941.58,962.76,962.77,940.83,116.76M,-2.20%
27-Apr-15,962.75,984.26,986.47,962.75,129.15M,-2.18%
26-Apr-15,984.22,989.43,989.95,984.22,75.13M,-0.51%
23-Apr-15,989.22,986.33,995.03,986.32,64.40M,0.29%
22-Apr-15,986.33,986.45,987.45,979.36,74.41M,-0.02%
21-Apr-15,986.48,992.61,995.24,986.47,90.71M,-0.62%
20-Apr-15,992.59,"1,006.20","1,006.50",992.59,86.02M,-1.36%
19-Apr-15,"1,006.32","1,007.90","1,015.52","1,006.32",109.28M,-0.21%
16-Apr-15,"1,008.42","1,005.15","1,008.87","1,001.46",86.48M,0.33%
15-Apr-15,"1,005.15","1,013.29","1,016.31","1,005.15",94.63M,-0.78%
14-Apr-15,"1,013.10","1,012.19","1,016.22","1,012.18",82.25M,0.11%
9-Apr-15,"1,011.97","1,008.03","1,012.45","1,007.30",80.55M,0.39%
8-Apr-15,"1,008.01","1,005.31","1,009.65",993.04,147.27M,0.15%
7-Apr-15,"1,006.51",986.42,"1,007.75",986.42,94.02M,2.12%
6-Apr-15,985.59,997.18,999.7,980.11,137.28M,-1.17%
5-Apr-15,997.22,"1,025.71","1,025.71",997.19,97.07M,-2.78%
2-Apr-15,"1,025.70","1,043.14","1,044.43","1,025.68",100.47M,-1.65%
1-Apr-15,"1,042.94","1,045.89","1,049.05","1,042.86",56.21M,-0.26%
31-Mar-15,"1,045.63","1,044.04","1,054.60","1,043.69",77.59M,0.11%
30-Mar-15,"1,044.44","1,034.65","1,047.06","1,033.17",80.44M,0.96%
29-Mar-15,"1,034.54","1,029.28","1,038.26","1,029.28",58.80M,0.63%
26-Mar-15,"1,028.08","1,040.60","1,040.60","1,018.26",123.64M,-1.39%
25-Mar-15,"1,042.60","1,069.29","1,069.67","1,042.60",122.97M,-2.50%
24-Mar-15,"1,069.30","1,077.52","1,084.33","1,069.30",81.45M,-0.73%
23-Mar-15,"1,077.15","1,078.25","1,078.37","1,071.48",92.84M,-0.10%
22-Mar-15,"1,078.25","1,098.87","1,098.95","1,078.25",82.04M,-1.88%
